V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
Playing History Audit 'garciamurilo' from 2020/01/01 12:00 AM to 2021/01/15 11:59 PM,,,,,,,,,,,,,NA
Transaction Details,Individual Transaction Amounts,Running Balance,,,,,,,,,,,NA
Date/Time,Action,Table Name / Player / Tournament #,Game,Account Currency,Amount,Accrued StarsCoin,T Money,W Money,Balance,Total Accrued StarsCoin After this Transaction,T Money,W Money,NA
2020/06/02 9:00 PM,Deposit (Player),2376098981,,USD,10.36,0.00,0.00,0.00,10.36,4.00,0.00,0.00,NA
2020/06/02 9:05 PM,Tournament Registration,2924778539$0.25 NL Hold'em [45 Players], NL Hold'em Sit&Go Buy-In: 0.23/0.02,USD,-0.25,0.00,0.00,0.00,10.11,4.00,0.00,0.00,NA
2020/06/02 9:05 PM,Tournament Registration,2924778363$0.10 NL Hold'em [360 Players  Turbo], NL Hold'em Sit&Go Buy-In: 0.09/0.01,USD,-0.10,0.00,0.00,0.00,10.01,4.00,0.00,0.00,NA
2020/06/02 9:05 PM,Tournament Registration,2924776618$0.25 NL Hold'em [90 Players], NL Hold'em Sit&Go Buy-In: 0.23/0.02,USD,-0.25,0.00,0.00,0.00,9.76,4.00,0.00,0.00,NA
2020/06/02 9:10 PM,Tournament Registration,2924781897$0.25 NL Hold'em [45 Players], NL Hold'em Sit&Go Buy-In: 0.23/0.02,USD,-0.25,0.00,0.00,0.00,9.51,4.00,0.00,0.00,NA
2020/06/02 9:10 PM,Tournament Registration,2924742838$0.02 NL Hold'em [990 Players  Hyper-Turbo], NL Hold'em Sit&Go Buy-In: 0.02/0.00,USD,-0.02,0.00,0.00,0.00,9.49,4.00,0.00,0.00,NA
2020/06/02 9:11 PM,Tournament Unregistration,2924776618$0.25 NL Hold'em [90 Players], NL Hold'em Sit&Go Buy-In: 0.23/0.02,USD,0.25,0.00,0.00,0.00,9.74,4.00,0.00,0.00,NA
2020/06/02 9:12 PM,Tournament Registration,2924783396$0.25 NL Hold'em [45 Players], NL Hold'em Sit&Go Buy-In: 0.23/0.02,USD,-0.25,0.00,0.00,0.00,9.49,4.00,0.00,0.00,NA
2020/06/02 9:16 PM,Tournament Registration,2924785242$0.25 NL Hold'em [45 Players], NL Hold'em Sit&Go Buy-In: 0.23/0.02,USD,-0.25,0.00,0.00,0.00,9.24,4.00,0.00,0.00,NA
2020/06/02 9:18 PM,Tournament Unregistration,2924742838$0.02 NL Hold'em [990 Players  Hyper-Turbo], NL Hold'em Sit&Go Buy-In: 0.02/0.00,USD,0.02,0.00,0.00,0.00,9.26,4.00,0.00,0.00,NA
2020/06/02 9:23 PM,Tournament Registration,2924789972$0.25 NL Hold'em [45 Players], NL Hold'em Sit&Go Buy-In: 0.23/0.02,USD,-0.25,0.00,0.00,0.00,9.01,4.00,0.00,0.00,NA
2020/06/02 11:13 PM,Tournament Won,2924785242$0.25 NL Hold'em [45 Players], NL Hold'em Sit&Go Buy-In: 0.23/0.02,USD,0.62,0.00,0.00,0.00,9.63,4.00,0.00,0.00,NA
2020/06/02 11:15 PM,Tournament Registration,2924843334$0.25 NL Hold'em [45 Players], NL Hold'em Sit&Go Buy-In: 0.23/0.02,USD,-0.25,0.00,0.00,0.00,9.38,4.00,0.00,0.00,NA
2020/06/02 11:16 PM,Tournament Registration,2924842497$0.50 NL Hold'em [45 Players  Turbo], NL Hold'em Sit&Go Buy-In: 0.45/0.05,USD,-0.50,0.00,0.00,0.00,8.88,4.00,0.00,0.00,NA
2020/06/02 11:17 PM,Tournament Registration,2924844985$0.50 NL Hold'em [45 Players  Turbo], NL Hold'em Sit&Go Buy-In: 0.45/0.05,USD,-0.50,0.00,0.00,0.00,8.38,4.00,0.00,0.00,NA
2020/06/02 11:20 PM,Tournament Registration,2924846094$0.25 NL Hold'em [45 Players], NL Hold'em Sit&Go Buy-In: 0.23/0.02,USD,-0.25,0.00,0.00,0.00,8.13,4.00,0.00,0.00,NA
